#: table_doi: 10.17182/hepdata.137818.v1/t2
#: name: Table 2
#: description: $\frac{\mathrm{d}N}{\mathrm{d}\eta}$ versus $\eta$ for $x^{\pm}$ in $\mathrm{p}-\mathrm{Pb}$ at $\sqrt{s_{\mathrm{NN}}}=5.023\,\mathrm{Te\!V}$ 
#: data_file: tab2.yaml
#: keyword reactions: P PB --> CHARGED
#: keyword observables: DN/DETARAP | DN/DETARAP | DN/DETARAP | DN/DETARAP | DN/DETARAP | DN/DETARAP | DN/DETARAP
#: keyword cmenergies: 5023
#: keyword phrases: Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence | Density | Pseudorapidity Dependence
#: PARTICLE,,,CHARGED
#: SQRT(S)/NUCLEON IN GEV,,,5023
#: TRIGGER,,,CENTV0A
#: CENTRALITY IN PCT,,,  0.00 TO   5.00
ETARAP,ETARAP LOW,ETARAP HIGH,DN/DETARAP,stat +,stat -,sys +,sys -
0.05,0.0,0.1,30.24,0.05,-0.05,0.93,-0.93
0.15000000000000002,0.1,0.2,30.45,0.05,-0.05,0.93,-0.93
0.25,0.2,0.3,30.73,0.05,-0.05,0.94,-0.94
0.35,0.3,0.4,31.13,0.05,-0.05,0.96,-0.96
0.45,0.4,0.5,31.51,0.05,-0.05,0.97,-0.97
0.55,0.5,0.6,31.88,0.05,-0.05,0.98,-0.98
0.6499999999999999,0.6,0.7,32.32,0.05,-0.05,1.0,-1.0
0.75,0.7,0.8,32.75,0.05,-0.05,1.01,-1.01
0.8500000000000001,0.8,0.9,33.24,0.05,-0.05,1.04,-1.04
0.95,0.9,1.0,33.68,0.06,-0.06,1.06,-1.06
1.05,1.0,1.1,34.26,0.06,-0.06,1.08,-1.08
1.15,1.1,1.2,34.56,0.06,-0.06,1.1,-1.1
1.25,1.2,1.3,34.92,0.07,-0.07,1.12,-1.12
1.35,1.3,1.4,35.3,0.07,-0.07,1.13,-1.13
1.45,1.4,1.5,35.52,0.08,-0.08,1.15,-1.15
1.55,1.5,1.6,35.89,0.09,-0.09,1.17,-1.17
1.65,1.6,1.7,36.1,0.1,-0.1,1.2,-1.2
1.75,1.7,1.8,36.62,0.01,-0.01,1.09,-1.09
1.85,1.8,1.9,36.78,0.01,-0.01,1.1,-1.1
1.97,1.9,2.04,36.65,0.01,-0.01,1.1,-1.11
2.145,2.04,2.25,38.24,0.01,-0.01,2.39,-2.48
2.375,2.25,2.5,37.88,0.01,-0.01,2.37,-2.46
2.625,2.5,2.75,38.02,0.01,-0.01,2.38,-2.47
2.875,2.75,3.0,37.63,0.01,-0.01,2.36,-2.44
3.125,3.0,3.25,37.38,0.01,-0.01,2.34,-2.43
3.375,3.25,3.5,36.58,0.01,-0.01,2.29,-2.38
3.625,3.5,3.75,34.24,0.02,-0.02,2.25,-2.33
3.875,3.75,4.0,33.35,0.01,-0.01,2.19,-2.27
4.125,4.0,4.25,32.44,0.01,-0.01,2.13,-2.21
4.375,4.25,4.5,31.29,0.01,-0.01,2.06,-2.13
4.625,4.5,4.75,30.42,0.01,-0.01,2.0,-2.07
4.875,4.75,5.0,29.54,0.02,-0.02,1.94,-2.01

#: PARTICLE,,,CHARGED
#: SQRT(S)/NUCLEON IN GEV,,,5023
#: TRIGGER,,,CENTV0A
#: CENTRALITY IN PCT,,, 20.00 TO  40.00
ETARAP,ETARAP LOW,ETARAP HIGH,DN/DETARAP,stat +,stat -,sys +,sys -
-4.875,-5.0,-4.75,13.22,0.02,-0.02,0.87,-0.9
-4.625,-4.75,-4.5,13.9,0.01,-0.01,0.91,-0.95
-4.375,-4.5,-4.25,14.93,0.01,-0.01,0.98,-1.02
-4.125,-4.25,-4.0,15.9,0.01,-0.01,1.05,-1.08
-3.875,-4.0,-3.75,16.54,0.01,-0.01,1.09,-1.12
-3.625,-3.75,-3.5,17.51,0.02,-0.02,1.15,-1.19
-3.375,-3.5,-3.25,20.0,0.01,-0.01,1.25,-1.3
