#: table_doi: 10.17182/hepdata.146722.v1/t6
#: name: Table 6
#: description: $v_{4}\{2\}$ versus $\eta$ for $x^{\pm}$ in $\mathrm{Pb}-\mathrm{Pb}$ at $\sqrt{s_{\mathrm{NN}}}=5.023\,\mathrm{Te\!V}$ 
#: data_file: tab6.yaml
#: keyword reactions: PB PB --> CHARGED
#: keyword observables: V_4_2 | V_4_2 | V_4_2 | V_4_2 | V_4_2 | V_4_2
#: keyword cmenergies: 5023
#: keyword phrases: Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Anisotropic azimuth flow | Multi-particle correlation | Pseudorapidity separation | Pseudorapidity Dependence
#: PARTICLE,,,CHARGED
#: HARMONIC,,,4
#: CORRELATOR,,,2
#: ETARAP GAP,,,(2.0, 3.8)
#: CENTRALITY [PCT],,,0 TO 5
ETARAP,ETARAP LOW,ETARAP HIGH,V_4_2,stat +,stat -,sys +,sys -
-0.6,-0.72,-0.48,0.0109,0.0002,-0.0002,0.0006,-0.0006
-0.36,-0.48,-0.24,0.0111,0.0002,-0.0002,0.0007,-0.0007
-0.12,-0.24,0.0,0.0112,0.0003,-0.0003,0.0007,-0.0007
0.11999999999999966,-2.22e-16,0.23999999999999955,0.0112,0.0003,-0.0003,0.0007,-0.0007
0.36,0.24,0.48,0.0111,0.0002,-0.0002,0.0007,-0.0007
0.6,0.48,0.72,0.0109,0.0002,-0.0002,0.0006,-0.0006
0.84,0.72,0.96,0.0108,0.0001,-0.0001,0.0006,-0.0006
1.08,0.96,1.2,0.0109,0.0005,-0.0005,0.0006,-0.0006
1.7999999999999998,1.68,1.92,0.01,0.0004,-0.0004,0.0008,-0.0008
2.04,1.92,2.16,0.0096,0.0002,-0.0002,0.0008,-0.0008
2.2800000000000002,2.16,2.4,0.0103,0.0002,-0.0002,0.0008,-0.0008
2.52,2.4,2.64,0.0094,0.0002,-0.0002,0.0007,-0.0007
2.76,2.64,2.88,0.0099,0.0003,-0.0003,0.0008,-0.0008
3.0,2.88,3.12,0.0091,0.0003,-0.0003,0.0007,-0.0007
3.24,3.12,3.36,0.0096,0.0002,-0.0002,0.0007,-0.0007
3.48,3.36,3.6,0.0092,0.0004,-0.0004,0.0007,-0.0007
3.7199999999999998,3.6,3.84,0.0089,0.0006,-0.0006,0.0007,-0.0007
3.96,3.84,4.08,0.0076,0.0007,-0.0007,0.0006,-0.0006
4.2,4.08,4.32,0.0079,0.0007,-0.0007,0.0006,-0.0006
4.4399999999999995,4.32,4.56,0.0064,0.0005,-0.0005,0.0005,-0.0005
4.68,4.56,4.8,0.0052,0.0006,-0.0006,0.0004,-0.0004

#: PARTICLE,,,CHARGED
#: HARMONIC,,,4
#: CORRELATOR,,,2
#: ETARAP GAP,,,(2.0, 3.8)
#: CENTRALITY [PCT],,,20 TO 30
ETARAP,ETARAP LOW,ETARAP HIGH,V_4_2,stat +,stat -,sys +,sys -
-3.24,-3.36,-3.12,0.0092,0.0006,-0.0006,0.001,-0.001
-3.0,-3.12,-2.88,0.0093,0.0003,-0.0003,0.0009,-0.0009
-2.76,-2.88,-2.64,0.0107,0.0004,-0.0004,0.0009,-0.0009
-2.52,-2.64,-2.4,0.0107,0.0003,-0.0003,0.0009,-0.0009
-2.2800000000000002,-2.4,-2.16,0.0116,0.0004,-0.0004,0.001,-0.001
-2.04,-2.16,-1.92,0.0095,0.0004,-0.0004,0.0009,-0.0009
-1.7999999999999998,-1.92,-1.68,0.0118,0.0007,-0.0007,0.0012,-0.0012
-1.08,-1.2,-0.96,0.0125,0.0007,-0.0007,0.0008,-0.0008
-0.84,-0.96,-0.72,0.0124,0.0004,-0.0004,0.0008,-0.0008
-0.6,-0.72,-0.48,0.0129,0.0003,-0.0003,0.0008,-0.0008
-0.36,-0.48,-0.24,0.013,0.0002,-0.0002,0.0008,-0.0008
-0.12,-0.24,0.0,0.013,0.0002,-0.0002,0.0008,-0.0008
0.11999999999999966,-2.22e-16,0.23999999999999955,0.013,0.0002,-0.0002,0.0008,-0.0008
0.36,0.24,0.48,0.013,0.0002,-0.0002,0.0008,-0.0008
0.6,0.48,0.72,0.0129,0.0003,-0.0003,0.0008,-0.0008
0.84,0.72,0.96,0.0124,0.0004,-0.0004,0.0008,-0.0008
1.08,0.96,1.2,0.0125,0.0007,-0.0007,0.0008,-0.0008
1.7999999999999998,1.68,1.92,0.0118,0.0007,-0.0007,0.0011,-0.0011
2.04,1.92,2.16,0.0095,0.0004,-0.0004,0.0008,-0.0008
2.2800000000000002,2.16,2.4,0.0116,0.0004,-0.0004,0.001,-0.001
2.52,2.4,2.64,0.0107,0.0003,-0.0003,0.0009,-0.0009
2.76,2.64,2.88,0.0107,0.0004,-0.0004,0.0009,-0.0009
3.0,2.88,3.12,0.0093,0.0003,-0.0003,0.0008,-0.0008
3.24,3.12,3.36,0.0092,0.0006,-0.0006,0.0008,-0.0008
3.48,3.36,3.6,0.0097,0.0008,-0.0008,0.0008,-0.0008
3.7199999999999998,3.6,3.84,0.0099,0.0006,-0.0006,0.0008,-0.0008
3.96,3.84,4.08,0.0085,0.0007,-0.0007,0.0007,-0.0007
4.2,4.08,4.32,0.0094,0.0008,-0.0008,0.0008,-0.0008
4.4399999999999995,4.32,4.56,0.0069,0.0006,-0.0006,0.0006,-0.0006
4.68,4.56,4.8,0.0065,0.0004,-0.0004,0.0006,-0.0006

#: PARTICLE,,,CHARGED
#: HARMONIC,,,4
#: CORRELATOR,,,2
#: ETARAP GAP,,,(2.0, 3.8)
#: CENTRALITY [PCT],,,30 TO 40
ETARAP,ETARAP LOW,ETARAP HIGH,V_4_2,stat +,stat -,sys +,sys -
-3.24,-3.36,-3.12,0.0105,0.0006,-0.0006,0.0012,-0.0012
-3.0,-3.12,-2.88,0.0107,0.0003,-0.0003,0.0011,-0.0011
-2.76,-2.88,-2.64,0.0111,0.0004,-0.0004,0.0011,-0.0011
-2.52,-2.64,-2.4,0.0113,0.0003,-0.0003,0.001,-0.001
-2.2800000000000002,-2.4,-2.16,0.0114,0.0005,-0.0005,0.0011,-0.0011
-2.04,-2.16,-1.92,0.0109,0.0005,-0.0005,0.0011,-0.0011
-1.7999999999999998,-1.92,-1.68,0.0113,0.0006,-0.0006,0.0012,-0.0012
-1.08,-1.2,-0.96,0.0136,0.0009,-0.0009,0.0005,-0.0005
-0.84,-0.96,-0.72,0.014,0.0004,-0.0004,0.0005,-0.0005
-0.6,-0.72,-0.48,0.0141,0.0004,-0.0004,0.0005,-0.0005
-0.36,-0.48,-0.24,0.014,0.0004,-0.0004,0.0005,-0.0005
-0.12,-0.24,0.0,0.0147,0.0002,-0.0002,0.0005,-0.0005
0.11999999999999966,-2.22e-16,0.23999999999999955,0.0147,0.0002,-0.0002,0.0005,-0.0005
0.36,0.24,0.48,0.014,0.0004,-0.0004,0.0005,-0.0005
0.6,0.48,0.72,0.0141,0.0004,-0.0004,0.0005,-0.0005
0.84,0.72,0.96,0.014,0.0004,-0.0004,0.0005,-0.0005
1.08,0.96,1.2,0.0136,0.0009,-0.0009,0.0005,-0.0005
1.7999999999999998,1.68,1.92,0.0113,0.0006,-0.0006,0.0011,-0.0011
2.04,1.92,2.16,0.0109,0.0005,-0.0005,0.0011,-0.0011
2.2800000000000002,2.16,2.4,0.0114,0.0005,-0.0005,0.0011,-0.0011
2.52,2.4,2.64,0.0113,0.0003,-0.0003,0.0011,-0.0011
2.76,2.64,2.88,0.0111,0.0004,-0.0004,0.001,-0.001
3.0,2.88,3.12,0.0107,0.0003,-0.0003,0.001,-0.001
3.24,3.12,3.36,0.0105,0.0006,-0.0006,0.001,-0.001
3.48,3.36,3.6,0.0092,0.0008,-0.0008,0.0009,-0.0009
3.7199999999999998,3.6,3.84,0.0084,0.0009,-0.0009,0.0008,-0.0008
3.96,3.84,4.08,0.0077,0.0009,-0.0009,0.0007,-0.0007
4.2,4.08,4.32,0.0069,0.0009,-0.0009,0.0006,-0.0006
4.4399999999999995,4.32,4.56,0.0059,0.0005,-0.0005,0.0006,-0.0006
4.68,4.56,4.8,0.0077,0.0009,-0.0009,0.0007,-0.0007

#: PARTICLE,,,CHARGED
#: HARMONIC,,,4
#: CORRELATOR,,,2
#: ETARAP GAP,,,(2.0, 3.8)
#: CENTRALITY [PCT],,,40 TO 50
ETARAP,ETARAP LOW,ETARAP HIGH,V_4_2,stat +,stat -,sys +,sys -
-3.24,-3.36,-3.12,0.012,0.001,-0.001,0.001,-0.001
-3.0,-3.12,-2.88,0.0093,0.0009,-0.0009,0.0011,-0.0011
-2.76,-2.88,-2.64,0.013,0.001,-0.001,0.002,-0.002
-2.52,-2.64,-2.4,0.0093,0.0008,-0.0008,0.001,-0.001
-2.2800000000000002,-2.4,-2.16,0.0084,0.0009,-0.0009,0.0009,-0.0009
-2.04,-2.16,-1.92,0.0099,0.0008,-0.0008,0.0011,-0.0011
-1.7999999999999998,-1.92,-1.68,0.013,0.002,-0.002,0.002,-0.002
-1.08,-1.2,-0.96,0.02,0.002,-0.002,0.001,-0.001
-0.84,-0.96,-0.72,0.0152,0.0008,-0.0008,0.001,-0.001
-0.6,-0.72,-0.48,0.0161,0.0006,-0.0006,0.0011,-0.0011
-0.36,-0.48,-0.24,0.017,0.0008,-0.0008,0.0011,-0.0011
-0.12,-0.24,0.0,0.016,0.001,-0.001,0.001,-0.001
0.11999999999999966,-2.22e-16,0.23999999999999955,0.016,0.001,-0.001,0.001,-0.001
0.36,0.24,0.48,0.017,0.0008,-0.0008,0.0011,-0.0011
0.6,0.48,0.72,0.0161,0.0006,-0.0006,0.0011,-0.0011
0.84,0.72,0.96,0.0152,0.0008,-0.0008,0.001,-0.001
1.08,0.96,1.2,0.02,0.002,-0.002,0.001,-0.001
1.7999999999999998,1.68,1.92,0.013,0.002,-0.002,0.002,-0.002
2.04,1.92,2.16,0.0099,0.0008,-0.0008,0.0011,-0.0011
2.2800000000000002,2.16,2.4,0.0084,0.0009,-0.0009,0.001,-0.001
2.52,2.4,2.64,0.0093,0.0008,-0.0008,0.001,-0.001
2.76,2.64,2.88,0.013,0.001,-0.001,0.002,-0.002
3.0,2.88,3.12,0.0093,0.0009,-0.0009,0.001,-0.001
3.24,3.12,3.36,0.012,0.001,-0.001,0.001,-0.001
3.48,3.36,3.6,0.014,0.002,-0.002,0.002,-0.002
3.7199999999999998,3.6,3.84,0.011,0.004,-0.004,0.001,-0.001
3.96,3.84,4.08,0.01,0.002,-0.002,0.001,-0.001
4.2,4.08,4.32,0.011,0.001,-0.001,0.001,-0.001
4.4399999999999995,4.32,4.56,0.009,0.002,-0.002,0.001,-0.001
4.68,4.56,4.8,0.0052,0.0017,-0.0017,0.0006,-0.0006

